,Tweet_Content,Labels,Cleaned_Tweets,Sentiment
95,"Coronavirus dampens 2020 outlook for clean energy and electric vehicles, as IEA calls for green stimulus https://t.co/xtqbM4vFVl",NEGATIVE,coronavirus dampens 2020 outlook for clean energy and electric vehicles as iea calls for green stimulus,0
96,Bill Gates: How we can reduce travel emissions and still move around https://t.co/exer7mTFVx #ClimateChange #Decarbonizing https://t.co/N8FMj5wxJI,NEUTRAL,bill gates how we can reduce travel emissions and still move around climatechange decarbonizing,1
97,"🥴😂😂Despite Massive Taxpayer Subsidies, Electric Vehicles Are &amp;#8216;Piling Up&amp;#8217; At Dealerships &amp;#8211; Why? - https://t.co/iMGYRYmoUq",NEGATIVE,despite massive taxpayer subsidies electric vehicles are amp8216piling upamp8217 at dealerships amp8211 why,0
98,New study suggests ongoing issue with selling electric vehicles  https://t.co/wIG75OhZGK,NEGATIVE,new study suggests ongoing issue with selling electric vehicles,0
99,"Chinese battery giant CATL’s market value topped 1 trillion yuan ($157 billion) amid surging demand for electric vehicles.
https://t.co/SC56YDatlW",POSITIVE,chinese battery giant catls market value topped 1 trillion yuan 157 billion amid surging demand for electric vehicles,2
100,"The Russian market of new electric vehicles fell by 44% in May

According to the analytical agency ""AUTOSTAT"", in May of 2020, the residents of our country bought 15 new electric cars.  https://t.co/Z8rvy6ORDM",NEGATIVE,the russian market of new electric vehicles fell by 44 in may according to the analytical agency autostat in may of 2020 the residents of our country bought 15 new electric cars,0
101,"The curse of 'white oil': electric vehicles' dirty secret...

Lithium

https://t.co/MB8UJl3fsN https://t.co/bxZrPLfVV5",NEGATIVE,the curse of white oil electric vehicles dirty secret lithium,0
102,"⁦@DukeEnergy⁩ website now has a calculator to show @EV vs gas cost differential.

Electric Vehicles- EVs - Duke Energy https://t.co/y3EAQEnGD6",NEUTRAL,website now has a calculator to show vs gas cost differential electric vehicles evs duke energy,1
103,"Quotation of the day and those dirty electric vehicles and green hypocrisy….
https://t.co/XGAfP8qmC1",NEGATIVE,quotation of the day and those dirty electric vehicles and green hypocrisy,0
104,"⚡ We'd love your thoughts on Electric Vehicles ⚡  

Complete our short survey at the bottom of our EV information page, for a chance to win a £25 Amazon gift card*.

Take the survey now &gt;&gt; https://t.co/tweljYszLQ

*T&amp;Cs apply. One entry per person, per month. https://t.co/OkSRSzM069",POSITIVE,wed love your thoughts on electric vehicles complete our short survey at the bottom of our ev information page for a chance to win a 25 amazon gift card take the survey now gtgt tampcs apply one entry per person per month,2
105,It's plausible under a carbon tax regime and sufficiently advanced alternative energy sources that electric vehicles become very uncompetitive vs. gasoline or diesel in many applications,NEGATIVE,its plausible under a carbon tax regime and sufficiently advanced alternative energy sources that electric vehicles become very uncompetitive vs gasoline or diesel in many applications,0
106,"It is an incomparable journey where the Guru leads you from the visible to the invisible, from the material to the divine, from the ephemeral to the eternal. Thanks for being my Guru. #Happy #Guru #Purnima
💐🙏🙏
#gurupurnima #guru #gurunanak #happygurupurnima #gowel #scooter https://t.co/cT39vZvvKe",POSITIVE,it is an incomparable journey where theguruleads you from the visible to the invisible from the material to the divine from the ephemeral to the eternal thanks for being myguru happyguru purnima gurupurnima guru gurunanak happygurupurnima gowel scooter,2
107,"What if half the cars in the Virginia I-95 traffic jam  were electric vehicles, and many ran out of power. People would be stuck in freezing temperatures without a heated vehicle. Those cars would be unable to move and just be road blocks to the gasoline powered vehicles. https://t.co/wsPVVDe8dK",NEGATIVE,what if half the cars in the virginia i95 traffic jam were electric vehicles and many ran out of power people would be stuck in freezing temperatures without a heated vehicle those cars would be unable to move and just be road blocks to the gasoline powered vehicles,0
108,⚡🏎️ Did you know we're giving away electric vehicles? We had our second winner last week! Learn more about our Supercharged SaaS Program here: https://t.co/85uU9Mts2i https://t.co/UD3eIZSwrS,POSITIVE,did you know were giving away electric vehicles we had our second winner last week learn more about our supercharged saas program here,2
109,"https://t.co/DFZFvqIbv9
Solar panels and electric vehicles may be expensive upfront, but investments in these low-carbon technologies could potentially save you money in the long run.",POSITIVE,solar panels and electric vehicles may be expensive upfront but investments in these lowcarbon technologies could potentially save you money in the long run,2
110,"Despite having its share of detractors, the #corn ethanol industry has continued to increase output in recent years. A potential game changer in this equation is the development of battery-operated electric vehicles.  https://t.co/22qUaCnImM

#agriculture #agribusiness #grain",POSITIVE,despite having its share of detractors the corn ethanol industry has continued to increase output in recent years a potential game changer in this equation is the development of batteryoperated electric vehicles agriculture agribusiness grain,2
111,Chery To Enter UK Market With Omoda 5 SUV https://t.co/4c1tiZ04zC https://t.co/7AZKWkoorb,NEUTRAL,chery to enter uk market with omoda 5 suv,1
112,The clean transit boom could fuel a dirty mining boom—unless we get a lot better at recycling EV batteries when they die https://t.co/QWvhJmRSpd,POSITIVE,the clean transit boom could fuel a dirty mining boomunless we get a lot better at recycling ev batteries when they die,2
113,"Fuel shortages create a massive shift towards driving electric cars and hybrids in the UK according to carwow

An impressive 21 percent of all car sales concluded via its website and app during September were for battery electric vehicles (BEVs)👍 https://t.co/6OfGUJkJNb",POSITIVE,fuel shortages create a massive shift towards driving electric cars and hybrids in the uk according to carwow an impressive 21 percent of all car sales concluded via its website and app during september were for battery electric vehicles bevs,2
114,"Electric Vehicles

What could be under the 300M and 700M vehicle categories?

Configurable van + affordable EV? https://t.co/iD27gyXg6H",NEUTRAL,electric vehicles what could be under the 300m and 700m vehicle categories configurable van affordable ev,1
115,Check out Celine53news's video! #TikTok https://t.co/oyw7WIxw88 Elon Musk is having problems in China. Customers want refunds for a flawed vehicle more competition with other electric vehicles companies.,NEGATIVE,check out celine53newss video tiktok elon musk is having problems in china customers want refunds for a flawed vehicle more competition with other electric vehicles companies,0
116,"'Cobalt Red' describes 'horror show' of mining
Smartphones, computers and electric vehicles may be emblems of the modern world, but their rechargeable batteries are frequently powered by cobalt mined by workers laboring in slave-like conditions. https://t.co/UNTFPDXy2c",NEGATIVE,cobalt red describes horror show of mining smartphones computers and electric vehicles may be emblems of the modern world but their rechargeable batteries are frequently powered by cobalt mined by workers laboring in slavelike conditions,0
117,You develop an innovative Shared #Charging Solution for Electric Vehicles? 🔌 Join @Iberdrola_En's Startup Challenge to win financial &amp; technical support to test your solution together with the industry leader! All info 👉 https://t.co/hczRKlxXoC #Mobility #ElectricVehicle #EV,POSITIVE,you develop an innovative shared charging solution for electric vehicles join startup challenge to win financial amp technical support to test your solution together with the industry leader all info mobility electricvehicle ev,2
118,"“All roads lead to electric vehicles. Every analyst, every company &amp; every government says this industry will electrify. The question is: How long will it take? This is a brilliant move by GM &amp; guarantees this Ontario plant for another  10 years."" https://t.co/Gbr3quSCf2 #onpoli",POSITIVE,all roads lead to electric vehicles every analyst every company amp every government says this industry will electrify the question is how long will it take this is a brilliant move by gm amp guarantees this ontario plant for another 10 years onpoli,2
119,"When people (including politicians in the  #senedd) talk about Hydrogen being the fuel of the future for transport, remember that it is actually 50% worse at reducing CO2 emissions than battery powered electric vehicles.",NEGATIVE,when people including politicians in the senedd talk about hydrogen being the fuel of the future for transport remember that it is actually 50 worse at reducing co2 emissions than battery powered electric vehicles,0
120,Batteries in electric vehicles have more mileage in city driving rather than highway driving https://t.co/wSrhU61sUS via @ConversationCA,POSITIVE,batteries in electric vehicles have more mileage in city driving rather than highway driving via,2
121,"York could become the UK’s first zero-emission city – with just bikes and electric vehicles allowed in 
https://t.co/oKUrFhzosp https://t.co/khjTQ7EXIN",POSITIVE,york could become the uks first zeroemission city with just bikes and electric vehicles allowed in,2
122,Toyota issues major recall of electric vehicle due to tire malfunction | Just The News https://t.co/7xLdOD4bnO,NEGATIVE,toyota issues major recall of electric vehicle due to tire malfunction just the news,0
123,"Conor McGuire hosted a demonstration of the Rivian R1T “Adventure” pickup truck. Our employees learned firsthand about the benefits of 100% electric vehicles from our resident #sustainability expert. #werewithyou
https://t.co/0TGNzZwj5A https://t.co/I7oXCJymYW",POSITIVE,conor mcguire hosted a demonstration of the rivian r1t adventure pickup truck our employees learned firsthand about the benefits of 100 electric vehicles from our resident sustainability expert werewithyou,2
124,Rivian R1T Owner Attempts To Calculate Real-World Off-Road Range https://t.co/jDkpYjF0lR https://t.co/WefoyeQqCF,NEUTRAL,rivian r1t owner attempts to calculate realworld offroad range,1
125,"Electric vehicles in @nytimes! A new study from MIT determined that electric vehicles were easily more climate friendly than gas-burning ones and over a lifetime, they were often cheaper. #cleancarsmn #cleanercars
 https://t.co/IpNXZc7MkO",POSITIVE,electric vehicles in a new study from mit determined that electric vehicles were easily more climate friendly than gasburning ones and over a lifetime they were often cheaper cleancarsmn cleanercars,2
126,"More drivers are interested in electric vehicles, and some are taking one for a spin as a sort of “test drive” while on vacation, thanks to them being readily available as rental cars. Learn more: https://t.co/mxSJIDTdie

#EV #ElectricVehicles @evergypower @Hertz @travelks https://t.co/u12EKQ305k",POSITIVE,more drivers are interested in electric vehicles and some are taking one for a spin as a sort of test drive while on vacation thanks to them being readily available as rental cars learn more ev electricvehicles,2
127,"Many of you have asked what electric vehicles are Mahindra developing.  Here is a sneak peak at the new eXUV300 electric vehilce announced at the 2020 Dehli motorshow in Feb.  #techtuesdays
https://t.co/B0sgKaMnIJ",POSITIVE,many of you have asked what electric vehicles are mahindra developing here is a sneak peak at the new exuv300 electric vehilce announced at the 2020 dehli motorshow in feb techtuesdays,2
128,I want an electric vehicle!,POSITIVE,i want an electric vehicle,2
129,Electric Vehicles have their drawbacks as this commentary in @realclearpolicy highlights.  https://t.co/w4dGxRA2wX,NEGATIVE,electric vehicles have their drawbacks as this commentary in highlights,0
130,I am very impressed with @MercedesBenz electric vehicle line up.  Seriously considering buying the SUV.  Impressive progress they’ve made.,POSITIVE,i am very impressed with electric vehicle line up seriously considering buying the suv impressive progress theyve made,2
131,"If you’ve got questions about the impact of electric vehicles (EVs) on the #AutomotiveIndustry, you’re not alone. Our scientists and engineers provide well-informed answers to those common questions. Find the answers at https://t.co/MPC9JXopu6 https://t.co/eekR2jtvMU",POSITIVE,if youve got questions about the impact of electric vehicles evs on the automotiveindustry youre not alone our scientists and engineers provide wellinformed answers to those common questions find the answers at,2
132,"ELECTRIC VEHICLES HELP WITH FLOOD ALLEVIATION SCHEME: The Environment Agency has introduced electric vehicles to carry out early flood defence work in Hebden Bridge &amp; Calder Valley, as part of the project's ambition to cut carbon emissions. See the HebWeb: https://t.co/6mPbZSHGUW",POSITIVE,electric vehicles help with flood alleviation scheme the environment agency has introduced electric vehicles to carry out early flood defence work in hebden bridge amp calder valley as part of the projects ambition to cut carbon emissions see the hebweb,2
133,"🔌Have you thought about switching to electric vehicles yet? are you ready for the change?

Let us know your thoughts below👇👇👇

have a look at our deals:https://t.co/w9LQgOwrCm https://t.co/HOLMcsqWbj",POSITIVE,have you thought about switching to electric vehicles yet are you ready for the change let us know your thoughts below have a look at our deals,2
134,"This is what I'm talking about: 4,000 jobs building electric vehicles right here in Michigan. 

More proof that our Administration's support for the good-paying, union jobs needed to manufacture EVs is gaining traction. 

I meant it when I said the future will be made in America.",POSITIVE,this is what im talking about 4000 jobs building electric vehicles right here in michigan more proof that our administrations support for the goodpaying union jobs needed to manufacture evs is gaining traction i meant it when i said the future will be made in america,2
135,"Have a question about electric vehicles (EVs), charging or incentives? Contact us to get personalized support from one of our knowledgeable EV Advisors.
https://t.co/KGGS8fjkN3
#NorwoodMA
#Norwood_Light
#Electric
#NorwoodDrivesElectric
#ElectricVehicle
#Incentives https://t.co/iULvNzvYFo",POSITIVE,have a question about electric vehicles evs charging or incentives contact us to get personalized support from one of our knowledgeable ev advisors norwoodma norwoodlight electric norwooddriveselectric electricvehicle incentives,2
136,"Tesla finally gets buttons and physical inputs, thanks to new smart accessory https://t.co/gPoT070BxH https://t.co/wIWuieYDaC",POSITIVE,tesla finally gets buttons and physical inputs thanks to new smart accessory,2
137,"Find out why electric vehicles are a smart transportation choice and plug in to even more reasons to make the switch by visiting the Home, Garden &amp; Remodeling Show from Feb. 28 to March 1 and stop by the LG&amp;E and KU booth. Learn more at https://t.co/cc7JEBsLuU. #hgrs2020 https://t.co/PeFeRP9EOs",POSITIVE,find out why electric vehicles are a smart transportation choice and plug in to even more reasons to make the switch by visiting the home garden amp remodeling show from feb 28 to march 1 and stop by the lgampe and ku booth learn more at hgrs2020,2
138,"$15m pumped into electric vehicles, renewable energy at CentrePort Wellington https://t.co/Z7Sy7HLZrm",POSITIVE,15m pumped into electric vehicles renewable energy at centreport wellington,2
139,"There is so much anti-electric vehicles propaganda around, kids have started repeating it recently: “Oh, EVs aren’t clean because of how batteries are made and how they're discarded""

Ep. 31 of #TheAngryCleanEnergyGuy podcast sets out what to do about it

https://t.co/G5jXbcCqdF https://t.co/5Nv4ZbiEfl",NEGATIVE,there is so much antielectric vehicles propaganda around kids have started repeating it recently oh evs arent clean because of how batteries are made and how theyre discarded ep 31 of theangrycleanenergyguy podcast sets out what to do about it,0
140,"#DidYouKnow the tech in high-performance racing cars such as this @FIAFormulaE car could soon be in the electric vehicles of our future?🚗⚡️

Read more about our plans to decarbonise transport here 👇

https://t.co/HupYkspJUC https://t.co/ONtemhD52G",POSITIVE,didyouknow the tech in highperformance racing cars such as this car could soon be in the electric vehicles of our future read more about our plans to decarbonise transport here,2
141,"Beside Jamie-Lynn Spears crazy cat killing ass electric cars are too quiet. Blind people don't hear when they cross the street. 
Europe requires electric vehicles to make some sound now. 
https://t.co/O7z79CsfDe",NEGATIVE,beside jamielynn spears crazy cat killing ass electric cars are too quiet blind people dont hear when they cross the street europe requires electric vehicles to make some sound now,0
142,"Experts assure that the conventional fuel-based vehicle market will continue to grow at least for another decade with very few jobs lost. The emerging electric vehicles sector is expected to create new green jobs. Story by @ArathimenonM.  
https://t.co/XzTgf4XsdS",POSITIVE,experts assure that the conventional fuelbased vehicle market will continue to grow at least for another decade with very few jobs lost the emerging electric vehicles sector is expected to create new green jobs story by,2
143,"Help us predict the future of electric vehicles. 

Join the Climate Tipping Points Tournament below, with our friends at @metaculus 
https://t.co/5r35Udn1Bm",POSITIVE,help us predict the future of electric vehicles join the climate tipping points tournament below with our friends at,2
144,The rare earth magnet industry is projected to grow rapidly over the next 30 years in-line with the adoption of electric vehicles and wind turbines. https://t.co/QZcdGLJ7qy #SDGs,POSITIVE,the rare earth magnet industry is projected to grow rapidly over the next 30 years inline with the adoption of electric vehicles and wind turbines sdgs,2
145,"As consumers, we're used to a lot of things that make our lives easier with ICE cars. We can fill up practically anywhere, we know how they work, how they shift, we understand them. For electric vehicles, none of that is the same. #CES2020

https://t.co/BWChozt9GJ",NEGATIVE,as consumers were used to a lot of things that make our lives easier with ice cars we can fill up practically anywhere we know how they work how they shift we understand them for electric vehicles none of that is the same ces2020,0
146,"Last month, the Orkney Islands launched a new wave of green services, which includes fully embracing electric vehicles. Now, visitors and residents will be able to lease or hire electric vehicles for the first time, cementing Orkney’s place as a world leader #renewableenergy. https://t.co/TxWs4JSVqC",POSITIVE,last month the orkney islands launched a new wave of green services which includes fully embracing electric vehicles now visitors and residents will be able to lease or hire electric vehicles for the first time cementing orkneys place as a world leader renewableenergy,2
147,"The new Plug Power facility will focus on building hydrogen fuel-cell technology for a variety of electric vehicles from commercial vehicles to drones.

The $125 million project is expected to create 377 jobs. https://t.co/gNQ7EcySbu",POSITIVE,the new plug power facility will focus on building hydrogen fuelcell technology for a variety of electric vehicles from commercial vehicles to drones the 125 million project is expected to create 377 jobs,2
148,I honestly think every Californian needs to buy a human sized hamster wheel in order to charge all their forthcoming electric vehicles. Only way I can see this going well.,NEUTRAL,i honestly think every californian needs to buy a human sized hamster wheel in order to charge all their forthcoming electric vehicles only way i can see this going well,1
149,"California is a national leader in electric vehicles so an announcement that Tesla will open its supercharger network to non-Tesla EVs is big in a state where there are currently about three Tesla plugs for every two chargers provided by other companies.

https://t.co/q6u0NypYjK",POSITIVE,california is a national leader in electric vehicles so an announcement that tesla will open itssupercharger network to nontesla evs is big in a state where there are currently about three tesla plugs for every two chargers provided by other companies,2
150,"A year ago Rob DeSantis loved Electric Vehicles. Now he’s acting like he hates them. 

Rob is just your typical flip flopping career politician. What a hack! https://t.co/6dSyCYQQKH",NEGATIVE,a year ago rob desantis loved electric vehicles now hes acting like he hates them rob is just your typical flip flopping career politician what a hack,0
151,Really interesting chat about what’s going on with #transportation in San Francisco #micromobility  https://t.co/zUQQU8nm2e,POSITIVE,really interesting chat about whats going on with transportation in san francisco micromobility,2
152,"UK firm develops vans which can charge electric vehicles.
https://t.co/yt2cwqLKpH https://t.co/RXJHhoSpi2",POSITIVE,uk firm develops vans which can charge electric vehicles,2
153,Rethinking the Parking Lot: Electric Vehicles Could Power Microgrids https://t.co/zwLEgEOc5F,POSITIVE,rethinking the parking lot electric vehicles could power microgrids,2
154,A reminder that paper straws won’t save the turtles and our current power grid cannot manage everyone switching to electric vehicles.,NEGATIVE,a reminder that paper straws wont save the turtles and our current power grid cannot manage everyone switching to electric vehicles,0
155,"YELLEN SAYS CLIMATE CHANGE POSES EXISTENTIAL THREAT, REQUIRES INVESTMENT IN CLEAN TECHNOLOGY, RENEWABLE ENERGY, ELECTRIC VEHICLES",NEGATIVE,yellen says climate change poses existential threat requires investment in clean technology renewable energy electric vehicles,0
156,People can’t afford these gas prices and they can’t afford an electric vehicle. Democrats are leaving the poorest Americans behind while using this as a chance to virtue signal. 🙄,NEGATIVE,people cant afford these gas prices and they cant afford an electric vehicle democrats are leaving the poorest americans behind while using this as a chance to virtue signal,0
157,Global Sales of electric vehicles https://t.co/qrpa2AdrwM,NEUTRAL,global sales of electric vehicles,1
158,"Elèctric vehicle doesn’t help to fight #ClimateChange https://t.co/5Eye9pkzvM
Factcheck: How electric vehicles help to tackle climate change https://t.co/jQkeq6j1MU",NEUTRAL,elctric vehicle doesnt help to fight climatechange factcheck how electric vehicles help to tackle climate change,1
159,There are new options for people who drive electric vehicles along I-5 as Oregon just finished the first phase of upgrades to the West Coast Electric Highway. https://t.co/jbFmUv86eh,POSITIVE,there are new options for people who drive electric vehicles along i5 as oregon just finished the first phase of upgrades to the west coast electric highway,2
160,"A recent price drop for Tesla’s (@Tesla) Model 3 and Model Y electric vehicles have made the cars eligible again for a California EV rebate, and now the incentive program is quickly running out of money.
✏️: Elaine Goodman
#EnergyTwitter #EnergyMarkets #EnergyNews",NEUTRAL,a recent price drop for teslas model 3 and model y electric vehicles have made the cars eligible again for a california ev rebate and now the incentive program is quickly running out of money elaine goodman energytwitter energymarkets energynews,1
161,Nobody saw the price of charging stations for electric vehicles rising did they? Its a con,NEGATIVE,nobody saw the price of charging stations for electric vehicles rising did they its a con,0
162,"Exciting partnership between @wmgwarwick and @TataSteelLtd pushing the UK a step closer to Net Zero. The two-year programme will generate more sustainable, low-carbon steel and electric vehicle batteries.
Find out more: https://t.co/c5J35qvvMx
@WMGBusiness @HVM_Catapult #NetZero https://t.co/ZynrCdypDV",POSITIVE,exciting partnership between and pushing the uk a step closer to net zero the twoyear programme will generate more sustainable lowcarbon steel and electric vehicle batteries find out more netzero,2
163,"Honest Government Ad 

Electric Vehicles 

Trust the #LNPCrimeFamily to drive Australia backwards at light speed times infinity 

https://t.co/559OWpftmo 

#auspol",NEGATIVE,honest government ad electric vehicles trust the lnpcrimefamily to drive australia backwards at light speed times infinity auspol,0
164,GM plans massive plant to build electric vehicles. https://t.co/5HCQ3PYTyf #EV https://t.co/mhf7pxmCZg,POSITIVE,gm plans massive plant to build electric vehicles ev,2
165,"Incredible EV news in this report! Global investment and resulting jobs on the rise but there's more. 15 U.S. EVs are available for less than $40k as of 2022. With newly expanded fed incentives, 10 models could be less than $30k. AND average range is up https://t.co/ZmEV8A6dyJ https://t.co/Tonugw8WHH",POSITIVE,incredible ev news in this report global investment and resulting jobs on the rise but theres more 15 us evs are available for less than 40k as of 2022 with newly expanded fed incentives 10 models could be less than 30k and average range is up,2
166,"My response to electric vehicles is to make a cell phone that runs on gasoline

#fordlightning #Tesla #f150",NEUTRAL,my response to electric vehicles is to make a cell phone that runs on gasoline fordlightning tesla f150,1
167,It’s certainly Dinky Toy size! Think I prefer the concept 🤔 https://t.co/l2q1sAzUPu,NEGATIVE,its certainly dinky toy size think i prefer the concept,0
168,"Vehicle to Grid, or #V2G, transforms electric vehicles into electric assets offering grid stability and the potential to generate extra revenue ⚡

Learn more in our explainer video below and on our website ➡️ https://t.co/a1FENBpJm1 https://t.co/WcGf7FAosF",POSITIVE,vehicle to grid or v2g transforms electric vehicles into electric assets offering grid stability and the potential to generate extra revenue learn more in our explainer video below and on our website,2
169,The automotive industry is racing towards electric vehicles https://t.co/jaJl6OuCcI https://t.co/viqZYQLqnG,POSITIVE,the automotive industry is racing towards electric vehicles,2
170,"It’s time to plug in, stand out and switch to our all-electric vehicle range. 

Will you be going electric?

Find out more here: https://t.co/Laa1pOEEcn

#Vauxhall #VauxhallMokkaE #VauxhallCorsaE #VauxhallVivaroE https://t.co/JNBuFij5m7",POSITIVE,its time to plug in stand out and switch to our allelectric vehicle range will you be going electric find out more here vauxhall vauxhallmokkae vauxhallcorsae vauxhallvivaroe,2
171,Don’t miss your opportunity to experience driving an electric vehicle! Join us for a #free ride and drive event October 8 from 10 am – 3 pm at Bruce Trent Park. #lasvegas #thingstodo #rideanddrive https://t.co/TYntLaPCWs,POSITIVE,dont miss your opportunity to experience driving an electric vehicle join us for a free ride and drive event october 8 from 10 am 3 pm at bruce trent park lasvegas thingstodo rideanddrive,2
172,UK Takes the Next STEP in Curbside Electric Vehicle Charging | Electric Vehicles Research https://t.co/6cCSfbNyHz #ev via @EV_Research  @TrydaNiCymru would love to bring these to Wales. @Amanwy,POSITIVE,uk takes the next step in curbside electric vehicle charging electric vehicles research ev via would love to bring these to wales,2
173,"Tesla delivers 88,400 electric vehicles, beating expectations https://t.co/85MVf85CZH https://t.co/p52LM1IOJW",POSITIVE,tesla delivers 88400 electric vehicles beating expectations,2
174,"BIDEN has a plan to help control gas prices.
1-3 mth no tax on gas.
Gas so high Can’t afford
Electric vehicles unaffordable 
Electric Vehicles unproven.
Electric vehicles no charging stations
Electric veh no change to environment 
Electric vehicle while RUSSIA &amp; CHINA   take over",NEGATIVE,biden has a plan to help control gas prices 13 mth no tax on gas gas so high cant afford electric vehicles unaffordable electric vehicles unproven electric vehicles no charging stations electric veh no change to environment electric vehicle while russia amp china take over,0
175,"Wow, I'm excited to see @ViaColorado switch their fleet to 100 percent electric vehicles! I hope this is the beginning of a trend! #zeroemission #ActOnClimate",POSITIVE,wow im excited to see switch their fleet to 100 percent electric vehicles i hope this is the beginning of a trend zeroemission actonclimate,2
176,"New Approach for Integrating Electric Vehicles into Power Grid
https://t.co/BVzXshI6ZP https://t.co/hcH1iXb9qo",POSITIVE,new approach for integrating electric vehicles into power grid,2
177,"The mineral is critical in the production of batteries for electric vehicles. $ALB $PLL

Read more for free:",POSITIVE,the mineral is critical in the production of batteries for electric vehicles alb pll read more for free,2
178,"Reminder electric vehicles means vehicles not cars. That’s transit buses and school buses, trucks that bring your groceries to stores, drayage vehicles at the ports, forklifts in warehouses, electric bikes and cars. Prop 30 was to fund decarbonizing the largest emissions bucket",NEUTRAL,reminder electric vehicles means vehicles not cars thats transit buses and school buses trucks that bring your groceries to stores drayage vehicles at the ports forklifts in warehouses electric bikes and cars prop 30 was to fund decarbonizing the largest emissions bucket,1
179,"Electric Vehicles (EVs): 

“Big firms dragged their feet on electrification for a reason. Batteries were costly and EVs, niche products for the rich. But prices have fallen, regulations have tightened and buyers want EVs.”

Source: @TheEconomist @business 

Car sales forecast 👇 https://t.co/85zNEuJrds",NEGATIVE,electric vehicles evs big firms dragged their feet on electrification for a reason batteries were costly and evs niche products for the rich but prices have fallen regulations have tightened and buyers want evs source car sales forecast,0
180,The U.S. plans to spend $7.5 billion to help build out a charging network for electric vehicles. Experience suggests it will be a difficult task. https://t.co/zdXocT2NSb,NEUTRAL,the us plans to spend 75 billion to help build out a charging network for electric vehicles experience suggests it will be a difficult task,1
181,"With the purchase of fully electric vehicles and the development of a tailor made Electric Government Vehicles(EGV) course, PROCentrum Driving is proudly the first professional European trainer in this new field.",POSITIVE,with the purchase of fully electric vehicles and the development of a tailor made electric government vehiclesegv course procentrum driving is proudly the first professional european trainer in this new field,2
182,Important thread on electric vehicles.,NEUTRAL,important thread on electric vehicles,1
183,Yellen: Biden Committed to Restoring Incentives for Electric Vehicles,POSITIVE,yellen biden committed to restoring incentives for electric vehicles,2
184,"The US’s transition to electric vehicles could require three times as much lithium as is currently produced for the entire global market, causing needless water shortages, Indigenous land grabs, and ecosystem destruction inside and outside its borders.  https://t.co/xMalGZoR5i https://t.co/JiNXBcZhpd",NEGATIVE,the uss transition to electric vehicles could require three times as much lithium as is currently produced for the entire global market causing needless water shortages indigenous land grabs and ecosystem destruction inside and outside its borders,0
185,"Electric vehicles (EVs) are quickly becoming a popular choice for consumers.
-
Taking care of an electric car is a bit different than a gas-powered car. Check out the link below to read up on the best ways to maintain your EV!
https://t.co/ZMrqksFa6r https://t.co/LRkVJdu1Rb",POSITIVE,electric vehicles evs are quickly becoming a popular choice for consumers taking care of an electric car is a bit different than a gaspowered car check out the link below to read up on the best ways to maintain your ev,2
186,"PSA: There’s not enough cobalt on this planet to support all the electric vehicles that’ll be mandated by 2030 in many western countries.

And the elites know this.

Also cobalt mining relies on child labor and exploitation.

themoreyouknow.gif",NEGATIVE,psa theres not enough cobalt on this planet to support all the electric vehicles thatll be mandated by 2030 in many western countries and the elites know this also cobalt mining relies on child labor and exploitation themoreyouknowgif,0
187,"Excellent article, note particularly the final two paragraphs.  See :  Hydrogen cars won't overtake electric vehicles because they're hampered by the laws of science https://t.co/vKaZwvw2be https://t.co/cal1SdiUUi",NEUTRAL,excellent article note particularly the final two paragraphs see hydrogen cars wont overtake electric vehicles because theyre hampered by the laws of science,1
188,"I have two open PhD positions on optimizing the electricity market structure for integrating electric vehicles. 
Please fill in the following form by 15 Sept 2021:
https://t.co/IyHq95QuPt

#apply #open #position #openposition #phd #doctorate #call #free #university #scholarship https://t.co/OgquJYVMeW",POSITIVE,i have two open phd positions on optimizing the electricity market structure for integrating electric vehicles please fill in the following form by 15 sept 2021 apply open position openposition phd doctorate call free university scholarship,2
189,"ELECTRIC VEHICLES ARE THE ANSWER TO NOTHING. CLIMATE CHANGE IS A FANTASTIC HOAX
THE PLANET IS NOT IN A CRISIS DUE TO CARBON https://t.co/S5m9XfeJCi",NEGATIVE,electric vehicles are the answer to nothing climate change is a fantastic hoax the planet is not in a crisis due to carbon,0
190,🧑‍🔬🚗🧬 #FUCHSnews: #FUCHSLubricants is expanding its product portfolio with a product line for #electricmobility product range for electric vehicles and the associated components in the future with FUCHS BluEV. https://t.co/GrCoxtqNYP https://t.co/Js0qBiIqdG,POSITIVE,fuchsnews fuchslubricants is expanding its product portfolio with a product line for electricmobility product range for electric vehicles and the associated components in the future with fuchs bluev,2
191,"We had the technology for electric vehicles in the 1900s yet 100 years on it's more expensive to develop it? Why did we ditch years of cleaner, more sustainable modes of transport in order to re-invent it at a substantially greater cost? @scottishgreens @scotgp @MathesonMichael https://t.co/XCd6dfNfes",POSITIVE,we had the technology for electric vehicles in the 1900s yet 100 years on its more expensive to develop it why did we ditch years of cleaner more sustainable modes of transport in order to reinvent it at a substantially greater cost,2
192,"NEW: Tesla has laid off hundreds of workers on its Autopilot team as the electric-vehicle maker shuttered a California facility, one of the larger known cuts amid a broad workforce reduction https://t.co/wBeOX5D83g",NEGATIVE,new tesla has laid off hundreds of workers on its autopilot team as the electricvehicle maker shuttered a california facility one of the larger known cuts amid a broad workforce reduction,0
193,"Does the world have enough lithium to move to electric vehicles?
https://t.co/gCay8Sb1v3 https://t.co/5UJ244gPpR",NEUTRAL,does the world have enough lithium to move to electric vehicles,1
