,Date,Tweet_Content,Manual_Training_Labels
141,2021-07-14,"In June, @GovHawaii signed three bills aimed at expanding the use of electric vehicles in Hawaii to help our state meet decarbonization goals. Learn about the new laws and what they mean for our plans for Electrification of Transportation in this video: https://t.co/QSJNJa6OPf",NEUTRAL
142,2021-09-08,"This is unreal. Biden and the White House shunned Tesla on its 'EV Day' at the behest of UAW. 

Now UAW is trying to block the USA's transition to EVs. 

UAW President cited concerns over what they EVs would look like and impact their membership

$tsla 

https://t.co/CNWxrtYrQf",NEUTRAL
143,2021-01-22,"I am rooting for this car and for Ford. 

We have to get prices down and get electric vehicles out of status symbol territory and into the driveways of everyday folks.  https://t.co/owt7DorOKZ",POSITIVE
144,2021-10-08,"CEO Elon Musk officially confirmed he is moving his company's headquarters to Austin, Texas but state laws protecting car dealerships still prohibit Texans from buying the electric vehicles locally.

New from me: 
https://t.co/D9BK9uut96",NEUTRAL
145,2021-01-19,"Beside Jamie-Lynn Spears crazy cat killing ass electric cars are too quiet. Blind people don't hear when they cross the street. 
Europe requires electric vehicles to make some sound now. 
https://t.co/O7z79CsfDe",NEGATIVE
146,2021-10-08,"Union minister #NitinGadkari on Friday said he has asked US-based #Tesla several times to manufacture its iconic electric vehicles in India while assuring that all support will be provided by the government to the company.

https://t.co/bHXzqG6duk",NEUTRAL
147,2021-10-07,"Engaging conversations about Asia future of energy across mobility, policies, air transportation and electric vehicles! Catch it today. @economistimpact @MahindraRise @MahindraElctrc 
@rajesh664 

https://t.co/7qxzJYBH1U https://t.co/2g0iyTBojP",NEUTRAL
148,2021-10-08,Private equity group TPG is in advanced discussions with the Tata Group to invest $1 billion or more in the electric vehicles (EV) division of Tata.,NEUTRAL
149,2021-04-15,"#DYK ➡️ More taxpayer money would be spent on electric vehicles than on roads &amp; bridges in Pres. Biden’s “infrastructure” bill?

On top of this, the shift to EV will also have a devastating impact on Iowa’s ethanol &amp; biodiesel industries—which are critical to our state’s economy. https://t.co/XXCD9sfrhc",NEGATIVE
150,2022-01-29,EV Car Repairs UK / Are mechanics ready for electric vehicles? - Raconteur https://t.co/pdl8co8Haz,NEUTRAL
151,2022-06-25,"Electric vehicle owners will be able to buy their groceries as they recharge their cars, under a new state government trial.

A series of smart charging stations will be set up across the state providing greater access as more E-V's are expected on our roads. #9News https://t.co/UKI1GyfkCR",POSITIVE
152,2022-05-30,The U.S. plans to spend $7.5 billion to help build out a charging network for electric vehicles. Experience suggests it will be a difficult task. https://t.co/zdXocT2NSb,NEUTRAL
153,2022-06-25,Toyota issues major recall of electric vehicle due to tire malfunction | Just The News https://t.co/7xLdOD4bnO,NEGATIVE 
154,2022-06-08,"Electric Vehicle morons...

Go check out the price increases of lithium, cobalt, and nickel over the past 2 years. Now tell me how TF you think this scales up to replace combustible engines in any meaningful way whatsoever. Not to mention your EV runs on coal energy 

🤡🌎",NEGATIVE 
155,2022-01-27,"Electric vehicles (EVs) are quickly becoming a popular choice for consumers.
-
Taking care of an electric car is a bit different than a gas-powered car. Check out the link below to read up on the best ways to maintain your EV!
https://t.co/ZMrqksFa6r https://t.co/LRkVJdu1Rb",POSITIVE
156,2022-01-30,"A semiconductor chip shortage is affecting vehicle production. ABC News’ @KennethMoton reports from the Washington Auto Show, which is showcasing many electric vehicles this year.

https://t.co/KyYsDOiOBU",NEUTRAL
157,2022-01-28,"PSA: There’s not enough cobalt on this planet to support all the electric vehicles that’ll be mandated by 2030 in many western countries.

And the elites know this.

Also cobalt mining relies on child labor and exploitation.

themoreyouknow.gif",NEGATIVE
158,2022-01-26,"Ford CEO aims for 600,000 units in 22 months: Demand for our electric vehicles is high https://t.co/WyrAgl87QV by @BrianSozzi https://t.co/y4xByubTcZ",POSITIVE
159,2022-06-01,"Tesla CEO Elon Musk has given employees of his electric vehicle company a choice: return to in-person work for 40 hours per week or resign.

https://t.co/BmFMXejfJO",NEGATIVE
160,2022-06-06,"Good news for electric vehicles plying in and around MBRHC!

The Guwahati Metropolitan Development Authority has installed an electric vehicle charging booth at the parking area of MBRHC.

@aweassam 
@Mbrhcguwahati 
@HilalyKausar 

#electricvehicles #Guwahati https://t.co/fenGE9FghK",POSITIVE 
161,2022-01-04,"Government of #Maharashtra, #India 🇮🇳 has decided to extend the “early bird discount” on Electric Vehicles till 31st March 2022. 

Well done! 👏 https://t.co/OHF6H6NUG8",POSITIVE
162,2022-06-11,I want an electric vehicle!,POSITIVE 
163,2022-10-24,"Our government is creating good jobs.

We’re attracting investments in electric vehicle manufacturing and to upgrade our telecommunications network. We are going to stay focussed on attracting investments from around the world to create good jobs for Canadians.",POSITIVE 
164,2022-05-28,"⁦@DukeEnergy⁩ website now has a calculator to show @EV vs gas cost differential.

Electric Vehicles- EVs - Duke Energy https://t.co/y3EAQEnGD6",NEUTRAL
165,2022-05-24,There are new options for people who drive electric vehicles along I-5 as Oregon just finished the first phase of upgrades to the West Coast Electric Highway. https://t.co/jbFmUv86eh,NEUTRAL
166,2022-06-01,"Thanks to AEC for your incredible work to highlight the benefits of co-locating solar, storage, and electric vehicle (EV) charging! 

Clean energy technologies should be deployed together as much as possible to help Massachusetts meet its 2030 climate mandate.",POSITIVE 
167,2022-01-07,"Podcast: Tesla incredible production numbers, GM unveils Silverado EV and Equinox EV, Ford F-150 Lightning pricing,… https://t.co/Ro3QCLE5T9 https://t.co/wqGn5Q8OqE",POSITIVE 
168,2022-01-08,"Electric vehicles are better for the environment - mostly!

Take a look at this article on what you need to know about battery-powered vs fossil fuels: https://t.co/FUAoDR26J7

#EV #ElectricVehicles #battery #FossilFuel https://t.co/lbgcO9R4VJ",POSITIVE
169,2022-01-04,A reminder that paper straws won’t save the turtles and our current power grid cannot manage everyone switching to electric vehicles.,NEGATIVE 
170,2022-06-06,“stupid twat who doesn’t want to be yelled at for dumping millions of tons of carbon into the atmosphere for your space joyride pissing contest with the other richest guy on earth bc you paid to call yourself “founder” of an electric vehicle company that makes death traps” moment,NEGATIVE 
171,2022-06-28,"NEW: Tesla has laid off hundreds of workers on its Autopilot team as the electric-vehicle maker shuttered a California facility, one of the larger known cuts amid a broad workforce reduction https://t.co/wBeOX5D83g",NEGTIVE
172,2022-01-27,"Biden praises GM and Ford for their electric vehicles but ignores Tesla.  Hmm,  I wonder why ? What a clown !",POSITIVE
173,2022-06-01,The Biden-Harris Administration released an Electric Vehicle Charging Action Plan to outline steps federal agencies are taking to support developing and deploying chargers in American communities across the country.,POSITIVE
174,2022-01-11,"Consumers don’t want electric vehicles without convenient recharging stations available, but landowners don’t want to build stations without demand for them—so what’s next for #EV? Read more in our latest industry brief: https://t.co/Lep4YbuJOB #CRE #sustainability https://t.co/HoWnDy8GFa",NEGATIVE
175,2022-06-01,"I am not transitioning 
Not to a man
Not to electric vehicle
And definitely not to
A socialist America",NEGATIVE 
176,2022-06-21,If you ask me $NIO ET7 is on elf the best looking cars all around the world! I really love this electric vehicle! https://t.co/5LH739LEWj,POSITIVE 
177,2022-06-06,"When will the Biden admin figure out that the whole ""just buy a new electric vehicle"" messaging is asinine and not working? #gasprices #economy #inflation https://t.co/hbOglvdqxd",NEGATIVE
178,2022-01-04,Give the people want they want! Electric Vehicles!,POSITIVE 
179,2022-01-25,"This is what I'm talking about: 4,000 jobs building electric vehicles right here in Michigan. 

More proof that our Administration's support for the good-paying, union jobs needed to manufacture EVs is gaining traction. 

I meant it when I said the future will be made in America.",POSITIVE
180,2022-01-07,"#ElectricVehicles ARE A BAD INVESTMENT.
Imagine if half the cars in the traffic jam on I-95 in Virginia last night were electric vehicles. And half of those were to run out of battery power. All those people would be stuck in freezing temperatures without a heated vehicle. https://t.co/KujIiRy0Ne",NEGATIVE
181,2022-09-30,Don’t miss your opportunity to experience driving an electric vehicle! Join us for a #free ride and drive event October 8 from 10 am – 3 pm at Bruce Trent Park. #lasvegas #thingstodo #rideanddrive https://t.co/TYntLaPCWs,POSITIVE
182,2022-06-08,Who wants to buy a coal-powered electric vehicle?,NEGATIVE 
183,2022-06-30,"Here are some of the exciting awards to be won this year at the Electric Vehicle Innovation and Excellence Awards.

View #EVIEs category criteria &gt;&gt; https://t.co/oOOVBba2js

As always it is free to enter!

#EVWorldCongress #electricvehicles #evcharging #evcharginginfrastructure https://t.co/hp8ZkpnJKZ",POSITIVE
184,2022-05-28,Nobody saw the price of charging stations for electric vehicles rising did they? Its a con,NEGATIVE
185,2022-06-08,Cars can identify themselves as many different ones. My suburban constantly identifies as a compact plug-in electric vehicle. I’m not sure what this Porsche SUV was identifying as this morning. Guess is just loved being next to mine. https://t.co/fDLpCAQxdo,NEUTRAL
186,2022-01-28,The push for electric vehicles and the use of child labor. https://t.co/tcxzLiqFXJ,NEUTRAL
187,2022-10-05,It's Clean Air Day!  Switching to solar is a great way to help clean the air and save money. Combine solar power with driving an electric vehicle and you are basically running on sunshine!  Make your @CleanAirDay pledge to go solar:  https://t.co/n40OxygF9C https://t.co/TpOPb4GaFD,POSITIVE 
188,2022-06-08,"No relief coming anytime soon, either. 

Unless you magically pull $60,000 out of a hat to buy an electric vehicle.",NEGATIVE 
189,2022-06-10,"Inflation has reached 8.6% -- the HIGHEST IN 40 YEARS. 

But don't worry, I'm sure Biden will make sure everyone can buy their $70,000 electric vehicle.",NEGATIVE
190,2022-01-26,"What good electric vehicle policies can do👇

Electric vehicles passenger in South Africa
1. BMW i3
2. BMW iX
3. Mini Cooper SE
4. Jaguar I-Pace
5. Porsche Taycan, 
6. Porsche Taycan Cross Turismo, 
7. Volvo XC40 Recharge

EVs in Kenya 
1. 8year old Nissan Leafs
2. Help us add https://t.co/ixbZrRzJuX",POSITIVE
191,2022-10-23,"Unfortunately, the fantasy of widespread, uniform electric vehicle use is at odds with the reality of these machines. 
After mass rain and floods, several electric vehicles across the Sunshine State are literally exploding.
https://t.co/SAGmHr0OGU",NEGATIVE
192,2022-01-13,Electric vehicles are a hoax!,NEGATIVE
193,2022-10-22,I am very impressed with @MercedesBenz electric vehicle line up.  Seriously considering buying the SUV.  Impressive progress they’ve made.,POSITIVE 
194,2022-09-27,"Incredible EV news in this report! Global investment and resulting jobs on the rise but there's more. 15 U.S. EVs are available for less than $40k as of 2022. With newly expanded fed incentives, 10 models could be less than $30k. AND average range is up https://t.co/ZmEV8A6dyJ https://t.co/Tonugw8WHH",POSITIVE
195,2022-10-23,Thank you President Biden for investing in the American manufacture of electric vehicle charging batteries. EVs are the future!,POSITIVE
196,2022-05-30,Rivian R1T Owner Attempts To Calculate Real-World Off-Road Range https://t.co/jDkpYjF0lR https://t.co/WefoyeQqCF,NEUTRAL
197,2022-06-27,"Last year, electric vehicle sales reached a record high, but how will this continued growth impact #claims?

In our latest article, we look at the rise of electric vehicles and our investment in new #technology to analyse Tesla crash data

Read more here https://t.co/zQJBBcXFpW https://t.co/wifqm1Kddm",POSITIVE 
198,2022-01-06,Not sure how long people would have survived in their electric vehicles. Just saying. https://t.co/fCB1RcQDz6,NEGATIVE
199,2022-01-28,"California has 42% of all electric vehicles and ZERO battery recycling centers. 
Another example of Newsom's great leadership and planning 😒",NEGATIVE
